id	char
0	

1	 
2	!
3	*
4	,
5	/
6	1
7	2
8	3
9	8
10	9
11	?
12	A
13	B
14	C
15	D
16	E
17	F
18	G
19	H
20	I
21	J
22	M
23	N
24	O
25	P
26	R
27	S
28	U
29	V
30	W
31	Y
32	[
33	\
34	]
35	`
36	a
37	b
38	c
39	d
40	e
41	f
42	g
43	h
44	i
45	k
46	l
47	m
48	o
49	p
50	r
51	s
52	t
53	u
54	w
55	y
56	…
57	☆
58	　
59	。
60	〇
61	《
62	》
63	〖
64	〗
65	一
66	丁
67	七
68	万
69	三
70	上
71	下
72	不
73	与
74	丑
75	专
76	世
77	丘
78	业
79	丛
80	东
81	丟
82	丢
83	两
84	严
85	丧
86	个
87	中
88	临
89	丸
90	丹
91	为
92	主
93	丽
94	举
95	久
96	么
97	义
98	之
99	乌
100	乎
101	乐
102	乒
103	乓
104	乖
105	乘
106	九
107	也
108	习
109	乡
110	书
111	买
112	乱
113	乾
114	了
115	予
116	争
117	事
118	二
119	于
120	亏
121	云
122	互
123	五
124	井
125	亘
126	亚
127	些
128	亡
129	交
130	亦
131	产
132	享
133	亭
134	亮
135	亲
136	人
137	什
138	仁
139	仇
140	今
141	介
142	仍
143	从
144	仓
145	仔
146	仕
147	他
148	仗
149	付
150	仙
151	代
152	令
153	以
154	仪
155	们
156	仰
157	件
158	价
159	任
160	份
161	仿
162	伊
163	伏
164	伐
165	休
166	众
167	优
168	会
169	伞
170	伟
171	传
172	伤
173	伦
174	伪
175	伫
176	伯
177	伱
178	伴
179	伸
180	似
181	伽
182	但
183	位
184	低
185	住
186	体
187	佔
188	何
189	佗
190	余
191	佛
192	作
193	你
194	佳
195	佻
196	使
197	來
198	供
199	依
200	侠
201	侦
202	侧
203	侬
204	侵
205	便
206	促
207	俊
208	保
209	俠
210	信
211	俯
212	俺
213	個
214	們
215	倒
216	倔
217	候
218	借
219	倦
220	倭
221	债
222	值
223	倾
224	假
225	偎
226	偏
227	做
228	停
229	偶
230	偷
231	傀
232	傅
233	傍
234	储
235	傲
236	傷
237	傻
238	傾
239	像
240	僵
241	儡
242	儿
243	兀
244	元
245	兄
246	充
247	兆
248	先
249	光
250	克
251	免
252	兜
253	入
254	全
255	兩
256	八
257	公
258	六
259	兮
260	兰
261	共
262	关
263	兴
264	兵
265	其
266	具
267	典
268	养
269	兽
270	内
271	冉
272	册
273	再
274	冒
275	写
276	军
277	农
278	冠
279	冥
280	冬
281	冰
282	冲
283	决
284	况
285	冷
286	净
287	凄
288	准
289	凉
290	凋
291	凌
292	减
293	凝
294	几
295	凡
296	凤
297	凯
298	凶
299	出
300	击
301	凿
302	刀
303	分
304	切
305	刊
306	划
307	列
308	则
309	刚
310	创
311	初
312	删
313	判
314	別
315	利
316	别
317	刮
318	到
319	制
320	刷
321	刺
322	刻
323	削
324	前
325	剑
326	剔
327	剥
328	剧
329	剩
330	剪
331	副
332	割
333	力
334	办
335	功
336	加
337	务
338	动
339	助
340	努
341	劫
342	励
343	劳
344	势
345	勇
346	勉
347	勒
348	勾
349	包
350	匆
351	化
352	北
353	匙
354	匠
355	匹
356	区
357	医
358	十
359	千
360	升
361	午
362	半
363	华
364	协
365	卑
366	单
367	卖
368	南
369	卜
370	占
371	卡
372	卦
373	印
374	危
375	即
376	却
377	卷
378	卸
379	卻
380	厅
381	历
382	厉
383	压
384	厌
385	厘
386	厚
387	原
388	厢
389	去
390	参
391	又
392	及
393	友
394	双
395	反
396	发
397	叔
398	取
399	受
400	变
401	叛
402	叠
403	口
404	古
405	句
406	另
407	叩
408	只
409	叫
410	叭
411	叮
412	可
413	台
414	史
415	右
416	叶
417	号
418	司
419	叹
420	吃
421	合
422	吉
423	吊
424	同
425	名
426	后
427	吐
428	向
429	吗
430	君
431	吝
432	吞
433	吟
434	吠
435	否
436	吧
437	含
438	听
439	吭
440	吴
441	吵
442	吸
443	吹
444	吻
445	吼
446	吾
447	呀
448	呆
449	告
450	呜
451	呢
452	呦
453	周
454	味
455	呵
456	呸
457	呼
458	命
459	咆
460	和
461	咒
462	咖
463	咧
464	咩
465	咬
466	咱
467	咸
468	咿
469	哀
470	品
471	哈
472	哉
473	响
474	哎
475	哑
476	哒
477	哟
478	哥
479	哦
480	哩
481	哪
482	哭
483	哮
484	哼
485	唇
486	唐
487	唤
488	唯
489	唰
490	唱
491	唸
492	啃
493	啊
494	啜
495	啡
496	啤
497	啥
498	啦
499	啬
500	啰
501	啵
502	啸
503	喂
504	善
505	喇
506	喉
507	喊
508	喔
509	喘
510	喜
511	喝
512	喧
513	喬
514	單
515	喷
516	嗅
517	嗓
518	嗜
519	嗦
520	嗨
521	嘆
522	嘛
523	嘟
524	嘲
525	嘴
526	嘶
527	嘿
528	噙
529	噢
530	器
531	噬
532	噴
533	嚇
534	嚎
535	嚣
536	四
537	回
538	因
539	团
540	园
541	困
542	囱
543	围
544	固
545	国
546	图
547	圆
548	圈
549	土
550	圣
551	在
552	地
553	场
554	圾
555	坊
556	坏
557	坐
558	坑
559	块
560	坚
561	坛
562	坟
563	坠
564	坡
565	坦
566	垂
567	垃
568	型
569	垒
570	垦
571	垫
572	埃
573	埋
574	城
575	培
576	基
577	堂
578	堆
579	堕
580	堡
581	堤
582	堪
583	堵
584	塌
585	塔
586	塞
587	填
588	境
589	墓
590	墙
591	增
592	墟
593	墨
594	墻
595	壁
596	壕
597	壤
598	士
599	壮
600	声
601	壳
602	壶
603	处
604	备
605	复
606	夏
607	夕
608	外
609	多
610	夜
611	够
612	大
613	天
614	太
615	夫
616	央
617	失
618	头
619	夸
620	夹
621	夺
622	奇
623	奈
624	奉
625	奋
626	奏
627	契
628	奔
629	奖
630	套
631	奪
632	女
633	奴
634	奶
635	她
636	好
637	如
638	妆
639	妈
640	妖
641	妙
642	妥
643	妳
644	妹
645	姆
646	始
647	姐
648	姑
649	姓
650	委
651	姜
652	姥
653	姻
654	姿
655	威
656	娇
657	娘
658	娥
659	婆
660	婉
661	婪
662	媚
663	嫌
664	嫣
665	嫦
666	嫩
667	嬉
668	子
669	孔
670	字
671	存
672	孝
673	孟
674	季
675	孤
676	学
677	孩
678	學
679	宁
680	它
681	宇
682	守
683	安
684	宋
685	完
686	宗
687	官
688	宙
689	定
690	宜
691	宝
692	实
693	宠
694	客
695	宣
696	室
697	宫
698	害
699	家
700	容
701	宽
702	宿
703	寂
704	寄
705	密
706	寇
707	寒
708	寞
709	察
710	寥
711	寫
712	寸
713	对
714	寺
715	寻
716	导
717	封
718	射
719	将
720	尊
721	對
722	小
723	少
724	尔
725	尖
726	尘
727	尚
728	尝
729	尬
730	就
731	尴
732	尸
733	尺
734	尼
735	尽
736	尾
737	局
738	屁
739	层
740	居
741	屈
742	屉
743	屋
744	屌
745	屏
746	屑
747	展
748	属
749	山
750	岁
751	岂
752	岛
753	岩
754	岭
755	岸
